"Date(UTC)","UnixTimeStamp","Value (Wei)"
"6/13/2022","1655078400","5226870743370"
"6/14/2022","1655164800","2341857950637"
"6/15/2022","1655251200","1885913087453"
"6/16/2022","1655337600","864681406962"
"6/17/2022","1655424000","660387521132"
"6/18/2022","1655510400","3515967361478"
"6/19/2022","1655596800","526351931415"
"6/20/2022","1655683200","427761768000"
"6/21/2022","1655769600","426632270518"
"6/22/2022","1655856000","242418889354"
"6/23/2022","1655942400","235005678817"
"6/24/2022","1656028800","210532771288"
"6/25/2022","1656115200","192245413768"
"6/26/2022","1656201600","184046008365"
"6/27/2022","1656288000","201366267338"
"6/28/2022","1656374400","113147372457"
"6/29/2022","1656460800","205487422676"
"6/30/2022","1656547200","283946694782"
"7/1/2022","1656633600","447609018587"
"7/2/2022","1656720000","80002026704"
"7/3/2022","1656806400","631972639979"
"7/4/2022","1656892800","252905255280"
"7/5/2022","1656979200","167708450826"
"7/6/2022","1657065600","60484751774"
"7/7/2022","1657152000","200766939554"
"7/8/2022","1657238400","90014417942"
"7/9/2022","1657324800","53093848849"
"7/10/2022","1657411200","57319413165"
"7/11/2022","1657497600","179897659616"
"7/12/2022","1657584000","84709329709"
"7/13/2022","1657670400","276199196324"
"7/14/2022","1657756800","161558508140"
"7/15/2022","1657843200","131884773347"
"7/16/2022","1657929600","263500643073"
"7/17/2022","1658016000","125604835648"
"7/18/2022","1658102400","154216654284"
"7/19/2022","1658188800","350133051219"
"7/20/2022","1658275200","278510265531"
"7/21/2022","1658361600","239834295839"
"7/22/2022","1658448000","88351653305"
"7/23/2022","1658534400","96823913380"
"7/24/2022","1658620800","113842752272"
"7/25/2022","1658707200","115326532360"
"7/26/2022","1658793600","117709874669"
"7/27/2022","1658880000","180848386657"
"7/28/2022","1658966400","162429718430"
"7/29/2022","1659052800","126779416777"
"7/30/2022","1659139200","104461400479"
"7/31/2022","1659225600","95142865246"
"8/1/2022","1659312000","82164357630"
"8/2/2022","1659398400","78023429039"
"8/3/2022","1659484800","56107047166"
"8/4/2022","1659571200","105721416019"
